#q2lo q2hi qTlo qThi PDF0  uncertainty
124.992 124.994 35 40 1.559372707592915e-08 7.438923757014921e-14
124.994 124.996 0 5 1.057852013457811e-07 2.422217570587955e-12
124.994 124.996 5 10 1.813509684605707e-07 3.859203118258508e-13
124.994 124.996 10 15 1.534634637284881e-07 2.735294361228965e-12
124.994 124.996 15 20 1.139437871908706e-07 1.123429077970174e-12
124.994 124.996 20 25 8.190644763967884e-08 3.097109746364368e-13
124.994 124.996 25 30 5.824490736102925e-08 4.398946839281856e-13
124.994 124.996 30 35 4.109645460567572e-08 2.791446034592711e-13
124.994 124.996 35 40 2.866005063475425e-08 1.847879414431002e-13
124.996 124.998 0 5 2.360319851326341e-07 1.997755119646528e-12
124.996 124.998 5 10 4.04639939298542e-07 6.429266679457348e-12
124.996 124.998 10 15 3.424181535704897e-07 1.0670607488807e-11
124.996 124.998 15 20 2.542404812465873e-07 5.952239018660234e-12
124.996 124.998 20 25 1.827570641972567e-07 1.852650593613724e-12
124.996 124.998 25 30 1.299619967158165e-07 2.750792945284331e-12
124.996 124.998 30 35 9.16991204699858e-08 1.873055727639121e-12
124.996 124.998 35 40 6.395000631149017e-08 1.284760670644878e-12
124.998 125 0 5 5.547616775241959e-07 1.439602936474945e-11
124.998 125 5 10 9.510583773435716e-07 4.740660838841967e-11
124.998 125 10 15 8.04818720660942e-07 5.217906914104315e-11
124.998 125 15 20 5.97569312057052e-07 3.419734092616754e-11
124.998 125 20 25 4.295560472654323e-07 1.898683677463434e-11
124.998 125 25 30 3.054670229460712e-07 1.680771125614076e-11
124.998 125 30 35 2.155338700294178e-07 1.170271683621902e-11
124.998 125 35 40 1.503120419569024e-07 8.111769466316833e-12
125 125.002 0 5 5.548162597104417e-07 1.441232391056226e-11
125 125.002 5 10 9.511577384879863e-07 4.743825078509558e-11
125 125.002 10 15 8.049078812619703e-07 5.220868113727582e-11
125 125.002 15 20 5.976387559266932e-07 3.422009426305696e-11
125 125.002 20 25 4.296081272137305e-07 1.900345438156609e-11
125 125.002 25 30 3.055056097964567e-07 1.682037968720536e-11
125 125.002 30 35 2.155622903513739e-07 1.17120644135746e-11
125 125.002 35 40 1.503328412631862e-07 8.11863091149851e-12
125.002 125.004 0 5 2.36097969677087e-07 1.994460886488972e-12
125.002 125.004 5 10 4.047604483239201e-07 6.437622681081352e-12
125.002 125.004 10 15 3.425266141452639e-07 1.067952371378715e-11
125.002 125.004 15 20 2.543251519282388e-07 5.958644233050037e-12
125.002 125.004 20 25 1.828206873707144e-07 1.856775772101176e-12
125.002 125.004 25 30 1.300092212103743e-07 2.754272320785916e-12
125.002 125.004 30 35 9.173396553607748e-08 1.875600240817755e-12
125.002 125.004 35 40 6.397555693781233e-08 1.286617657635789e-12
125.004 125.006 0 5 1.058330014739021e-07 2.422780352354182e-12
125.004 125.006 5 10 1.814384338836268e-07 3.866897788426911e-13
125.004 125.006 10 15 1.5354232194071e-07 2.737064831745247e-12
125.004 125.006 15 20 1.140054312076053e-07 1.124379071226474e-12
125.004 125.006 20 25 8.195282054876043e-08 3.09532244583282e-13
125.004 125.006 25 30 5.827936374992275e-08 4.403504929241219e-13
125.004 125.006 30 35 4.112190511997248e-08 2.79462545812527e-13
125.004 125.006 35 40 2.867873337642055e-08 1.850138373215479e-13
125.006 125.008 0 5 5.759526353393771e-08 1.437524868212328e-12
125.006 125.008 5 10 9.874098352295442e-08 3.892517375383762e-14
125.006 125.008 10 15 8.356009334765338e-08 1.361681356572194e-12
125.006 125.008 15 20 6.204385223457904e-08 5.104462721035366e-13
125.006 125.008 20 25 4.460046417011909e-08 2.494068970750531e-13
125.006 125.008 25 30 3.171702304646947e-08 1.868127875438976e-13
125.006 125.008 30 35 2.237964802652844e-08 1.145834941966556e-13
125.006 125.008 35 40 1.560784062473766e-08 7.445944938184421e-14
125.008 125.01 0 5 3.579120339498052e-08 9.097047092852841e-13
125.008 125.01 5 10 6.136058749446814e-08 5.397042255379956e-12
125.008 125.01 10 15 5.192622154103214e-08 3.476852917989524e-12
125.008 125.01 15 20 3.855604386901184e-08 2.992704694507477e-12
125.008 125.01 20 25 2.771668921185723e-08 2.657380749770136e-12
125.008 125.01 25 30 1.971022338694095e-08 1.590909858840711e-12
125.008 125.01 30 35 1.390769392148499e-08 1.136766694135192e-12
125.008 125.01 35 40 9.699462666254646e-09 7.973277126029675e-13
125.01 125.012 0 5 2.429031463957529e-08 1.820514105669091e-12
125.01 125.012 5 10 4.164260362138428e-08 1.721644609777192e-12
125.01 125.012 10 15 3.524015245076416e-08 7.141947957495273e-13
125.01 125.012 15 20 2.616651612543229e-08 8.102532930500632e-13
125.01 125.012 20 25 1.881035606062712e-08 9.270966068118853e-13
125.01 125.012 25 30 1.337671212407807e-08 4.557222841428121e-13
125.01 125.012 30 35 9.438769182470372e-09 3.312223350607595e-13
125.01 125.012 35 40 6.582801302782605e-09 2.340704106999749e-13
125.012 125.014 0 5 1.752954668986568e-08 9.72325094605644e-13
125.012 125.014 5 10 3.00523207671375e-08 6.548276295102635e-13
125.012 125.014 10 15 2.54320066836221e-08 1.694277994205571e-14
125.012 125.014 15 20 1.888387535484342e-08 2.150325046700279e-13
125.012 125.014 20 25 1.35751440819961e-08 4.03818061521442e-13
125.012 125.014 25 30 9.653815540311372e-09 1.399330573135795e-13
125.012 125.014 30 35 6.811886255504517e-09 1.057184585822981e-13
125.012 125.014 35 40 4.750787405397066e-09 7.594501827851356e-14
125.014 125.016 0 5 1.323266304998878e-08 6.118205720246572e-13
125.014 125.016 5 10 2.268596178736817e-08 2.838134239314811e-13
125.014 125.016 10 15 1.919828921300133e-08 1.659229755453001e-13
125.014 125.016 15 20 1.425526817378214e-08 2.983028332829861e-14
125.014 125.016 20 25 1.024780646386512e-08 2.098455057754233e-13
125.014 125.016 25 30 7.287652485983426e-09 3.792439588196979e-14
125.014 125.016 30 35 5.142312339619608e-09 3.203359527000988e-14
125.014 125.016 35 40 3.586406300026768e-09 2.401284572923908e-14
125.016 125.018 0 5 1.033704847225796e-08 4.28263307165563e-13
125.016 125.018 5 10 1.772185245957482e-08 1.359832887649004e-13
125.016 125.018 10 15 1.499744149495981e-08 2.024652331058858e-13
125.016 125.018 15 20 1.113608151029336e-08 3.068113798894924e-14
125.016 125.018 20 25 8.005530554170002e-09 1.252560353804587e-13
125.016 125.018 25 30 5.693103185445585e-09 2.041440365453284e-15
125.016 125.018 30 35 4.01718893024626e-09 5.562695707949807e-15
125.016 125.018 35 40 2.801728978074522e-09 5.185740218947787e-15
125.018 125.02 0 5 8.295175580531557e-09 3.213377586259463e-13
125.018 125.02 5 10 1.422134834137857e-08 7.052236656602906e-14
125.018 125.02 10 15 1.203515156661998e-08 1.953112246053834e-13
125.018 125.02 15 20 8.936534769020213e-09 4.894226567752596e-14
125.018 125.02 20 25 6.424348021178158e-09 8.310842780992763e-14
125.018 125.02 25 30 4.568674253352829e-09 1.078777137720269e-14
125.018 125.02 30 35 3.223783000117545e-09 4.302524110749878e-15
125.018 125.02 35 40 2.248394390353375e-09 1.952373758757496e-15
125.02 125.022 0 5 6.802376505145793e-09 2.526308014848724e-13
125.02 125.022 5 10 1.166214638858846e-08 3.899142433323672e-14
125.02 125.022 10 15 9.869428623626641e-09 1.762105052052792e-13
125.02 125.022 15 20 7.328447068040214e-09 5.201286883511533e-14
125.02 125.022 20 25 5.268343157275246e-09 5.966059565589513e-14
125.02 125.022 25 30 3.746600525847818e-09 1.491412856559509e-14
125.02 125.022 30 35 2.64371966362946e-09 7.808767465161155e-15
125.02 125.022 35 40 1.843847169161483e-09 4.586272975390182e-15
125.022 125.024 0 5 5.678432324919476e-09 2.052283092730115e-13
125.022 125.024 5 10 9.735290392806453e-09 2.272634392138144e-14
125.022 125.024 10 15 8.238822878486528e-09 1.554737046909256e-13
125.022 125.024 15 20 6.117690047385591e-09 4.961626987677429e-14
125.022 125.024 20 25 4.397964888559688e-09 4.537780534581293e-14
125.022 125.024 25 30 3.127643850794561e-09 1.561515699451074e-14
125.022 125.024 30 35 2.206976503565613e-09 8.751386329371747e-15
125.022 125.024 35 40 1.539253168515775e-09 5.385659091825399e-15
125.024 125.026 0 5 4.811307269690283e-09 1.707772968012318e-13
125.024 125.026 5 10 8.248712849894121e-09 1.384509807668389e-14
125.024 125.026 10 15 6.980799684872936e-09 1.363541005928278e-13
125.024 125.026 15 20 5.183580378913415e-09 4.54561189771904e-14
125.024 125.026 20 25 3.726458701915496e-09 3.60120914547743e-14
125.024 125.026 25 30 2.650110911090978e-09 1.497526837483795e-14
125.024 125.026 30 35 1.870022666049515e-09 8.645636002159153e-15
125.024 125.026 35 40 1.30425360038734e-09 5.421456987608447e-15
125.026 125.028 0 5 4.128426531192332e-09 1.44746832979199e-13
125.026 125.028 5 10 7.077995609955973e-09 8.757572668416424e-15
125.026 125.028 10 15 5.990071621617625e-09 1.196726082135613e-13
125.026 125.028 15 20 4.44794116305138e-09 4.097767347693145e-14
125.026 125.028 20 25 3.197626212929593e-09 2.949573500578124e-14
125.026 125.028 25 30 2.274037570172021e-09 1.385722946536138e-14
125.026 125.028 30 35 1.604659383547142e-09 8.129117794326475e-15
125.026 125.028 35 40 1.119182370861488e-09 5.147512686703723e-15
125.028 125.03 0 5 3.581121165163083e-09 1.244843449273609e-13
125.028 125.03 5 10 6.13970325927853e-09 5.721471340735272e-15
125.028 125.03 10 15 5.196032321824543e-09 1.054147836486971e-13
125.028 125.03 15 20 3.858346434129463e-09 3.673134490679932e-14
125.028 125.03 20 25 2.773780348684302e-09 2.474227554965693e-14
125.028 125.03 25 30 1.972623533300195e-09 1.262559683055288e-14
125.028 125.03 30 35 1.391976292134395e-09 7.478436455995266e-15
125.028 125.03 35 40 9.708511865007844e-10 4.762870883041833e-15
125.03 125.032 0 5 3.135775587616382e-09 1.083379394550034e-13
125.03 125.032 5 10 5.376206965924789e-09 3.844406088937303e-15
125.03 125.032 10 15 4.549913897225915e-09 9.330637085653242e-14
125.03 125.032 15 20 3.378585473993564e-09 3.29014559794738e-14
125.03 125.032 20 25 2.428890538913405e-09 2.114160317598921e-14
125.03 125.032 25 30 1.727357735605627e-09 1.14321005993615e-14
125.03 125.032 30 35 1.218911913309439e-09 6.81402275420499e-15
125.03 125.032 35 40 8.501508148746927e-10 4.355777698939865e-15
125.032 125.034 0 5 2.768572547457147e-09 9.522606125924033e-14
125.032 125.034 5 10 4.746675594940794e-09 2.647563330246593e-15
125.032 125.034 10 15 4.017163306740239e-09 8.302256676261119e-14
125.032 125.034 15 20 2.983002216006172e-09 2.952193634294029e-14
125.032 125.034 20 25 2.144513544821526e-09 1.833065707254404e-14
125.032 125.034 25 30 1.525124658495805e-09 1.033485432318151e-14
125.032 125.034 30 35 1.0762118736096e-09 6.186368240637003e-15
125.032 125.034 35 40 7.506271336720669e-10 3.964446526196109e-15
125.034 125.036 0 5 2.462258330005442e-09 8.441110924368344e-14
125.034 125.036 5 10 4.221530173434662e-09 1.863451488461153e-15
125.034 125.036 10 15 3.572749527024917e-09 7.426054414911731e-14
125.034 125.036 15 20 2.653010785219755e-09 2.656734641521535e-14
125.034 125.036 20 25 1.90728862089418e-09 1.608222134853371e-14
125.034 125.036 25 30 1.356423078628684e-09 9.350403060796048e-15
125.034 125.036 30 35 9.571720542988603e-10 5.61401875109548e-15
125.034 125.036 35 40 6.676045941472394e-10 3.603995391246482e-15
125.036 125.038 0 5 2.204087682570672e-09 7.537291514631272e-14
125.036 125.038 5 10 3.778920794587907e-09 1.337230805042554e-15
125.036 125.038 10 15 3.198182179812716e-09 6.676019920910237e-14
125.036 125.038 15 20 2.374881805411556e-09 2.399194613673302e-14
125.036 125.038 20 25 1.70734617851574e-09 1.424771865137321e-14
125.036 125.038 25 30 1.214234429127731e-09 8.477200247916672e-15
125.036 125.038 30 35 8.568401065715266e-10 5.100961397462552e-15
125.036 125.038 35 40 5.976293513275888e-10 3.278810962229724e-15
125.038 125.04 0 5 1.984481545234544e-09 6.773431347351224e-14
125.038 125.04 5 10 3.40242550971716e-09 9.764145205172983e-16
125.038 125.04 10 15 2.87956424814163e-09 6.030568720853365e-14
125.038 125.04 15 20 2.138296523969336e-09 2.174629384322389e-14
125.038 125.04 20 25 1.537268402536218e-09 1.272625608691551e-14
125.038 125.04 25 30 1.093283667594138e-09 7.706387704970862e-15
125.038 125.04 30 35 7.714939191741035e-10 4.644765751044971e-15
125.038 125.04 35 40 5.381055427219467e-10 2.988411619851619e-15
125.04 125.042 0 5 1.796128598918661e-09 6.121536883056284e-14
