#q2lo q2hi qTlo qThi PDF0  uncertainty
124.988 124.99 5 10 6.586130102488653e-09 8.732721816931113e-16
124.988 124.99 10 15 5.864016443133574e-09 8.557321693896605e-14
124.988 124.99 15 20 4.532957375004751e-09 3.249502106880523e-14
124.988 124.99 20 25 3.373127712455305e-09 1.741647701073322e-14
124.988 124.99 25 30 2.478912638767866e-09 1.215977631380726e-14
124.988 124.99 30 35 1.810145496257842e-09 7.499391596574591e-15
124.988 124.99 35 40 1.312544771321298e-09 4.905267234792245e-15
124.99 124.992 0 5 4.380032361747697e-09 9.423731125398274e-14
124.99 124.992 5 10 7.902766659718915e-09 3.271453505113095e-15
124.99 124.992 10 15 7.036200357609932e-09 1.039047975623863e-13
124.99 124.992 15 20 5.439012763589411e-09 4.023719880058997e-14
124.99 124.992 20 25 4.047317877759337e-09 1.959993839121845e-14
124.99 124.992 25 30 2.974350345990521e-09 1.532198802603509e-14
124.99 124.992 30 35 2.171903841420074e-09 9.544938048951871e-15
124.99 124.992 35 40 1.574842003560803e-09 6.286779731383967e-15
124.992 124.994 0 5 5.440955945699942e-09 1.087285926442541e-13
124.992 124.994 5 10 9.816706243686684e-09 1.614274867271918e-14
124.992 124.994 10 15 8.740053224893077e-09 1.380919898618896e-13
124.992 124.994 15 20 6.755964946308803e-09 5.764377717088897e-14
124.992 124.994 20 25 5.027212206997332e-09 1.779451482379414e-14
124.992 124.994 25 30 3.694410140101508e-09 2.333721711890766e-14
124.992 124.994 30 35 2.697654611922637e-09 1.502801798814369e-14
124.992 124.994 35 40 1.95602613233937e-09 1.011988577628353e-14
124.994 124.996 0 5 7.043618826586999e-09 8.345904487023255e-14
124.994 124.996 5 10 1.27076073205599e-08 1.162678805427501e-13
124.994 124.996 10 15 1.131332331563838e-08 2.589882002138117e-13
124.994 124.996 15 20 8.744720054082552e-09 1.384977448453975e-13
124.994 124.996 20 25 6.506844576239989e-09 2.680278380052219e-14
124.994 124.996 25 30 4.78160812677674e-09 6.545363770725314e-14
124.994 124.996 30 35 3.491404803622932e-09 4.526606768763051e-14
124.994 124.996 35 40 2.531463909219505e-09 3.184663984616754e-14
124.996 124.998 0 5 9.1212356657813e-09 5.052675773445846e-13
124.996 124.998 5 10 1.645367033064186e-08 1.232891046710476e-12
124.996 124.998 10 15 1.464643928330575e-08 1.284783715448412e-12
124.996 124.998 15 20 1.131987354692221e-08 9.189194731039203e-13
124.996 124.998 20 25 8.422204478929149e-09 5.920663975711637e-13
124.996 124.998 25 30 6.188585610380077e-09 4.901571896064659e-13
124.996 124.998 30 35 4.518329936974499e-09 3.548819850507959e-13
124.996 124.998 35 40 3.275707798244181e-09 2.561552829281244e-13
124.998 125 0 5 5.940117003956976e-09 4.708653107197741e-14
124.998 125 5 10 1.070598781082757e-08 6.915345081028191e-16
124.998 125 10 15 9.521987470220544e-09 5.029015893744445e-14
124.998 125 15 20 7.354176898821803e-09 7.911654505442626e-14
124.998 125 20 25 5.468389676044817e-09 1.010147278423817e-14
124.998 125 25 30 4.015860118042441e-09 7.182179069322717e-15
124.998 125 30 35 2.930262798476189e-09 4.435851702389356e-15
124.998 125 35 40 2.122975264887161e-09 2.90423546551368e-15
125 125.002 0 5 -9.556738529504884e-09 8.310214889779188e-14
125 125.002 5 10 -1.725859617628651e-08 7.207207174032769e-16
125 125.002 10 15 -1.537964287486362e-08 8.870790626523755e-14
125 125.002 15 20 -1.189679495883978e-08 3.363866827243657e-14
125 125.002 20 25 -8.858067039259088e-09 1.820078736428514e-14
125 125.002 25 30 -6.513579555737008e-09 1.257394640296923e-14
125 125.002 30 35 -4.759168319081675e-09 7.748595712833797e-15
125 125.002 35 40 -3.453192645633893e-09 5.065563167434144e-15
125.002 125.004 0 5 -1.066087929568313e-08 4.977247581855838e-13
125.002 125.004 5 10 -1.924342649100021e-08 1.277623386857896e-12
125.002 125.004 10 15 -1.714054319105903e-08 1.359125046785556e-12
125.002 125.004 15 20 -1.325419496775252e-08 9.629471986420902e-13
125.002 125.004 20 25 -9.86572031726776e-09 6.080478692285056e-13
125.002 125.004 25 30 -7.252328257715221e-09 5.121072208883347e-13
125.002 125.004 30 35 -5.297293895963237e-09 3.704019335857531e-13
125.002 125.004 35 40 -3.842319059802732e-09 2.672338730195903e-13
125.004 125.006 0 5 -7.734293759897206e-09 9.67986810549744e-14
125.004 125.006 5 10 -1.395930186296211e-08 1.189864285733048e-13
125.004 125.006 10 15 -1.243258041104762e-08 2.772357012747387e-13
125.004 125.006 15 20 -9.612912044366153e-09 1.463560311553287e-13
125.004 125.006 20 25 -7.154843073406307e-09 2.487890443070163e-14
125.004 125.006 25 30 -5.259195075985338e-09 6.872080351090772e-14
125.004 125.006 30 35 -3.841188259229053e-09 4.739890236463487e-14
125.004 125.006 35 40 -2.785935833294591e-09 3.329750410395891e-14
125.006 125.008 0 5 -5.817252197049128e-09 1.167592096709421e-13
125.006 125.008 5 10 -1.049884470409947e-08 1.642110399323609e-14
125.006 125.008 10 15 -9.350192122027601e-09 1.470694282720145e-13
125.006 125.008 15 20 -7.229358112214341e-09 6.113026859130019e-14
125.006 125.008 20 25 -5.380621308721822e-09 1.949449285441898e-14
125.006 125.008 25 30 -3.954936162271059e-09 2.467055559662653e-14
125.006 125.008 30 35 -2.888506542581025e-09 1.58602692505253e-14
125.006 125.008 35 40 -2.094908096984529e-09 1.066912351049924e-14
125.008 125.01 0 5 -4.614229268803667e-09 9.933403132814256e-14
125.008 125.01 5 10 -8.327465161897874e-09 3.316574539931748e-15
125.008 125.01 10 15 -7.416216981136588e-09 1.094127614001697e-13
125.008 125.01 15 20 -5.733955939210299e-09 4.233131300919129e-14
125.008 125.01 20 25 -4.267571692973489e-09 2.073321026180909e-14
125.008 125.01 25 30 -3.136764079908707e-09 1.610746375961045e-14
125.008 125.01 30 35 -2.290918083562576e-09 1.002968074531252e-14
125.008 125.01 35 40 -1.661476769318632e-09 6.604089219713269e-15
125.01 125.012 0 5 -3.809490112862225e-09 8.364400175623179e-14
125.01 125.012 5 10 -6.875035417999372e-09 8.834276021505167e-16
125.01 125.012 10 15 -6.12264920614759e-09 8.931357409871422e-14
125.01 125.012 15 20 -4.733772486472869e-09 3.391000477520443e-14
125.01 125.012 20 25 -3.523145277828417e-09 1.820117625373756e-14
125.01 125.012 25 30 -2.589574447027316e-09 1.268805089082273e-14
125.01 125.012 30 35 -1.891267023686586e-09 7.824474360234381e-15
125.01 125.012 35 40 -1.371620333184544e-09 5.117616802759809e-15
125.012 125.014 0 5 -3.238519059588014e-09 3.046787517826481e-13
125.012 125.014 5 10 -5.844424449410263e-09 3.797173848022636e-13
125.012 125.014 10 15 -5.20471600656135e-09 2.389669511857153e-13
125.012 125.014 15 20 -4.024076211745882e-09 2.241382344926476e-13
125.012 125.014 20 25 -2.994973853033071e-09 2.154905906224617e-13
125.012 125.014 25 30 -2.201328536059499e-09 1.291830373196789e-13
125.012 125.014 30 35 -1.607711010019088e-09 9.596385165922064e-14
125.012 125.014 35 40 -1.165969956687654e-09 7.022126699205682e-14
125.014 125.016 0 5 -2.813977710871516e-09 1.870836715445424e-13
125.014 125.016 5 10 -5.078251515174521e-09 1.893858246314764e-13
125.014 125.016 10 15 -4.522390312036162e-09 8.223080139002189e-14
125.014 125.016 15 20 -3.496521827623619e-09 9.789036659314969e-14
125.014 125.016 20 25 -2.60232990833166e-09 1.152668956999533e-13
125.014 125.016 25 30 -1.91272915495512e-09 5.927543536611951e-14
125.014 125.016 30 35 -1.396934068815107e-09 4.469985152126705e-14
125.014 125.016 35 40 -1.013105088592009e-09 3.296246077381553e-14
125.016 125.018 0 5 -2.486659061372677e-09 1.295985957099035e-13
125.016 125.018 5 10 -4.487547051528364e-09 1.026392062960109e-13
125.016 125.018 10 15 -3.996338981976028e-09 1.488768571899414e-14
125.016 125.018 15 20 -3.089799417553719e-09 4.188951125524227e-14
125.016 125.018 20 25 -2.299621146742181e-09 6.872512647383498e-14
125.016 125.018 25 30 -1.690235933571026e-09 2.798420947183037e-14
125.016 125.018 30 35 -1.234439190806423e-09 2.168514410078265e-14
125.016 125.018 35 40 -8.95257990537059e-10 1.620888866034513e-14
125.018 125.02 0 5 -2.226909189089067e-09 9.813171958914493e-14
125.018 125.02 5 10 -4.018788500069298e-09 5.940401121873017e-14
125.018 125.02 10 15 -3.578891707871249e-09 1.571415014988742e-14
125.018 125.02 15 20 -2.767048617130278e-09 1.509230191006768e-14
125.018 125.02 20 25 -2.059411460664655e-09 4.490355795180594e-14
125.018 125.02 25 30 -1.513681479078269e-09 1.280143243481498e-14
125.018 125.02 30 35 -1.105496166865406e-09 1.046772562751944e-14
125.018 125.02 35 40 -8.017447918299407e-10 8.023767678807725e-15
125.02 125.022 0 5 -2.015919484410016e-09 7.918544355683938e-14
125.02 125.022 5 10 -3.638029099709012e-09 3.625873422735984e-14
125.02 125.022 10 15 -3.239814402284485e-09 2.988599958309865e-14
125.02 125.022 15 20 -2.504891890190709e-09 1.578110867140018e-15
125.02 125.022 20 25 -1.864300692602186e-09 3.168500334802219e-14
125.02 125.022 25 30 -1.370275746830989e-09 4.981805272113257e-15
125.02 125.022 30 35 -1.000763366533756e-09 4.651713701335815e-15
125.02 125.022 35 40 -7.257901248175114e-10 3.765156866862999e-15
