#q2lo q2hi qTlo qThi PDF0  uncertainty
124.986 124.988 25 30 4.196540344624305e-09 7.673734945422237e-14
124.986 124.988 30 35 3.580117287534261e-09 6.839967978379289e-14
124.986 124.988 35 40 3.049645125128417e-09 5.982911363044293e-14
124.988 124.99 0 5 3.890689927418469e-09 2.427451825526788e-13
124.988 124.99 5 10 7.991098793718295e-09 3.296952430506075e-13
124.988 124.99 10 15 8.468242724977264e-09 2.376143906642425e-13
124.988 124.99 15 20 7.755508166201958e-09 2.734885895872375e-13
124.988 124.99 20 25 6.775164311321461e-09 3.077185553515482e-13
124.988 124.99 25 30 5.816168418621693e-09 2.199217714861541e-13
124.988 124.99 30 35 4.96185296142246e-09 1.916739106969074e-13
124.988 124.99 35 40 4.226656304429508e-09 1.65435320176017e-13
124.99 124.992 0 5 5.733885314980117e-09 9.141999012745927e-14
124.99 124.992 5 10 1.177708301881033e-08 1.034096410177186e-12
124.99 124.992 10 15 1.248034113989395e-08 9.317047121510332e-13
124.99 124.992 15 20 1.142996666257167e-08 9.353226928120752e-13
124.99 124.992 20 25 9.985178628383373e-09 9.181142090668677e-13
124.99 124.992 25 30 8.571842208233613e-09 7.231880173265681e-13
124.99 124.992 30 35 7.31277393472445e-09 6.22912399568116e-13
124.99 124.992 35 40 6.229256076481129e-09 5.33786212018125e-13
124.992 124.994 0 5 9.22856805303276e-09 1.434764545481307e-13
124.992 124.994 5 10 1.89550538355466e-08 7.457360673191552e-15
124.992 124.994 10 15 2.008722815994655e-08 2.078594894069704e-13
124.992 124.994 15 20 1.839660530183465e-08 9.036671943595737e-14
124.992 124.994 20 25 1.607113396524776e-08 4.418136209302421e-14
124.992 124.994 25 30 1.379648788965987e-08 4.122115787541491e-14
124.992 124.994 30 35 1.177002317764055e-08 2.789929863252617e-14
124.992 124.994 35 40 1.002610338388177e-08 1.988941236416375e-14
124.994 124.996 0 5 1.696067415235924e-08 2.307437093046138e-13
124.994 124.996 5 10 3.483660166739641e-08 7.413536979842949e-14
124.994 124.996 10 15 3.691753702815684e-08 4.412694383399408e-13
124.994 124.996 15 20 3.381052617317745e-08 2.227392928557331e-13
124.994 124.996 20 25 2.953670487733374e-08 2.875886398644611e-14
124.994 124.996 25 30 2.535626417702123e-08 1.188830722515415e-13
124.994 124.996 30 35 2.16319217839219e-08 8.823844994393827e-14
124.994 124.996 35 40 1.842684387491957e-08 6.813295370451799e-14
124.996 124.998 0 5 3.784324775906848e-08 2.192672400069172e-14
124.996 124.998 5 10 7.772900935160418e-08 1.235047389527962e-12
124.996 124.998 10 15 8.237246677610594e-08 2.096353914538672e-12
124.996 124.998 15 20 7.544019171692066e-08 1.526049551099914e-12
124.996 124.998 20 25 6.590435858688772e-08 8.481887115744349e-13
124.996 124.998 25 30 5.657682811419954e-08 1.039875600837724e-12
124.996 124.998 30 35 4.826690931561518e-08 8.585076350332594e-13
124.996 124.998 35 40 4.111557159680866e-08 7.160346788688316e-13
124.998 125 0 5 8.894536252270936e-08 3.097434586464255e-12
124.998 125 5 10 1.826922159512612e-07 9.106602412953194e-12
124.998 125 10 15 1.936069528337561e-07 1.146693394433334e-11
124.998 125 15 20 1.773140632156236e-07 9.593456655119698e-12
124.998 125 20 25 1.549015642997924e-07 7.262294932880726e-12
124.998 125 25 30 1.329785138959944e-07 6.953420603311827e-12
124.998 125 30 35 1.134471083267837e-07 5.866068931723711e-12
124.998 125 35 40 9.663874099186387e-08 4.961704891881701e-12
125 125.002 0 5 8.89539587657855e-08 3.100052211847597e-12
125 125.002 5 10 1.827106641047331e-07 9.112454981649473e-12
125 125.002 10 15 1.9362734649826e-07 1.147358567278643e-11
125 125.002 15 20 1.77333378377214e-07 9.599700368860882e-12
125 125.002 20 25 1.549189108117844e-07 7.267819529202218e-12
125 125.002 25 30 1.32993763649466e-07 6.958353695218079e-12
125 125.002 30 35 1.134603965850571e-07 5.870370228729393e-12
125 125.002 35 40 9.6650281630861e-08 4.965444060448256e-12
125.002 125.004 0 5 3.785362929532749e-08 2.252015061162198e-14
125.002 125.004 5 10 7.775134333084839e-08 1.236595208844615e-12
125.002 125.004 10 15 8.239721159330599e-08 2.098271558405968e-12
125.002 125.004 15 20 7.546366820551458e-08 1.52776510247482e-12
125.002 125.004 20 25 6.592547117658319e-08 8.496001464501859e-13
125.002 125.004 25 30 5.659540999392524e-08 1.041204742154692e-12
125.002 125.004 30 35 4.828311725179751e-08 8.596590172085889e-13
125.002 125.004 35 40 4.112966049004663e-08 7.170312668252242e-13
125.004 125.006 0 5 1.696819020446045e-08 2.307741840975269e-13
125.004 125.006 5 10 3.485279435932316e-08 7.42778094264084e-14
125.004 125.006 10 15 3.693550131896254e-08 4.415835586952502e-13
125.004 125.006 15 20 3.382758682128425e-08 2.229565900593644e-13
125.004 125.006 20 25 2.955205992176605e-08 2.866560344210937e-14
125.004 125.006 25 30 2.536978767611552e-08 1.190323162209172e-13
125.004 125.006 30 35 2.164372441812346e-08 8.836228407964043e-14
125.004 125.006 35 40 1.843710873693394e-08 6.823715387127442e-14
125.006 125.008 0 5 9.234223297136958e-09 1.435419941062363e-13
125.006 125.008 5 10 1.896724466998376e-08 7.476890946775689e-15
125.006 125.008 10 15 2.010075996756447e-08 2.080020103931256e-13
125.006 125.008 15 20 1.84094616401804e-08 9.043935957199813e-14
125.006 125.008 20 25 1.608270874309004e-08 4.4195245138392e-14
125.006 125.008 25 30 1.380668476862177e-08 4.126093045469139e-14
125.006 125.008 30 35 1.17789245781432e-08 2.792903756060321e-14
125.006 125.008 35 40 1.003384662671957e-08 1.991256473922752e-14
125.008 125.01 0 5 5.738377577207861e-09 9.147816420800163e-14
125.008 125.01 5 10 1.178676946216728e-08 1.036685810642632e-12
125.008 125.01 10 15 1.249109563672804e-08 9.344520054341387e-13
125.008 125.01 15 20 1.144018629580924e-08 9.379997027373257e-13
125.008 125.01 20 25 9.994380972404016e-09 9.206085485913236e-13
125.008 125.01 25 30 8.579950041509747e-09 7.253307375348483e-13
125.008 125.01 30 35 7.319852463112678e-09 6.247883741384357e-13
125.008 125.01 35 40 6.235414215450547e-09 5.354211435357843e-13
125.01 125.012 0 5 3.894404513501255e-09 2.432752823665816e-13
125.01 125.012 5 10 7.999109422166848e-09 3.306970707759728e-13
125.01 125.012 10 15 8.477137797972429e-09 2.386204766029047e-13
125.01 125.012 15 20 7.763961698701854e-09 2.745000003770159e-13
125.01 125.012 20 25 6.782776962190248e-09 3.086991817231298e-13
125.01 125.012 25 30 5.822876077992834e-09 2.207400217649969e-13
125.01 125.012 30 35 4.967709407106023e-09 1.923927149187223e-13
125.01 125.012 35 40 4.231751523891883e-09 1.660630885334188e-13
125.012 125.014 0 5 2.810462733532039e-09 1.207402335165856e-13
125.012 125.014 5 10 5.772716912746106e-09 1.257793435179271e-13
125.012 125.014 10 15 6.117722010811449e-09 5.240639767806092e-14
125.012 125.014 15 20 5.603062305922366e-09 8.846226170443673e-14
125.012 125.014 20 25 4.894980244085997e-09 1.27103641123309e-13
125.012 125.014 25 30 4.202252204752734e-09 7.709512844444849e-14
125.012 125.014 30 35 3.585104471864546e-09 6.871582088384966e-14
125.012 125.014 35 40 3.053984202023715e-09 6.010621817735945e-14
125.014 125.016 0 5 2.121551758912451e-09 7.152132351847877e-14
125.014 125.016 5 10 4.357705972382594e-09 5.451433745621235e-14
125.014 125.016 10 15 4.618163252142766e-09 3.376199192520422e-15
125.014 125.016 15 20 4.229670753080846e-09 2.749466408583749e-14
125.014 125.016 20 25 3.695161191382491e-09 6.167997768611615e-14
125.014 125.016 25 30 3.17223769430998e-09 2.874475246097183e-14
125.014 125.016 30 35 2.706365754113947e-09 2.674737392266769e-14
125.014 125.016 35 40 2.305432726492922e-09 2.397150660719441e-14
125.016 125.018 0 5 1.657303952381914e-09 4.788710622187248e-14
125.016 125.018 5 10 3.404147163139872e-09 2.611913687315038e-14
125.016 125.018 10 15 3.607626489908847e-09 2.013346682864202e-14
125.016 125.018 15 20 3.304155015253687e-09 5.475746762204312e-15
125.016 125.018 20 25 2.88661305432905e-09 3.423010019811743e-14
125.016 125.018 25 30 2.47811849903345e-09 1.045818857523473e-14
125.016 125.018 30 35 2.114189459797759e-09 1.066106066177697e-14
125.016 125.018 35 40 1.800988176978144e-09 1.000930095413736e-14
125.018 125.02 0 5 1.329935057142183e-09 3.483688780273972e-14
125.018 125.02 5 10 2.731734369541276e-09 1.354551828888893e-14
125.018 125.02 10 15 2.895033495128261e-09 2.403992562692084e-14
125.018 125.02 15 20 2.651514487470194e-09 2.813730976135765e-15
125.018 125.02 20 25 2.316452990002709e-09 2.118722246677214e-14
125.018 125.02 25 30 1.988649090090093e-09 2.989505316920163e-15
125.018 125.02 30 35 1.696606220473992e-09 3.94655472287033e-15
125.018 125.02 35 40 1.445270064219542e-09 4.10666390356572e-15
125.02 125.022 0 5 1.090598149769969e-09 2.681694434079046e-14
125.02 125.022 5 10 2.240137435143257e-09 7.489163492583941e-15
125.02 125.022 10 15 2.374059922443028e-09 2.356428316344587e-14
125.02 125.022 15 20 2.174371023453179e-09 5.826589109284966e-15
125.02 125.022 20 25 1.899610086243035e-09 1.430927014199628e-14
125.02 125.022 25 30 1.630798483265428e-09 1.860844742084436e-16
125.02 125.022 30 35 1.391311142918569e-09 9.865680945007813e-16
125.02 125.022 35 40 1.185204275286673e-09 1.451388584420608e-15
125.022 125.024 0 5 9.103990272757859e-10 2.147438982745079e-14
125.022 125.024 5 10 1.87000844650764e-09 4.365050381405671e-15
125.022 125.024 10 15 1.981812069452775e-09 2.168006513448018e-14
125.022 125.024 15 20 1.815122780502451e-09 6.69943056996811e-15
125.022 125.024 20 25 1.585762523493512e-09 1.034730974704267e-14
125.022 125.024 25 30 1.361366782952992e-09 1.530861539618659e-15
125.022 125.024 30 35 1.161449093913233e-09 3.496519549766467e-16
125.022 125.024 35 40 9.893959293200199e-10 2.123217085245335e-16
125.024 125.026 0 5 7.713751880128802e-10 1.769362436300567e-14
125.024 125.026 5 10 1.584452870314552e-09 2.659201163413632e-15
125.024 125.026 10 15 1.67919106604624e-09 1.947722350698569e-14
125.024 125.026 15 20 1.537960622490288e-09 6.687954376578161e-15
125.024 125.026 20 25 1.343626885987941e-09 7.88739096108442e-15
125.024 125.026 25 30 1.153498020274289e-09 2.055010587863812e-15
125.024 125.026 30 35 9.841084219699261e-10 9.426693267774505e-16
125.024 125.026 35 40 8.383278263965225e-10 3.70650018164752e-16
125.026 125.028 0 5 6.618908438907786e-10 1.489330910403952e-14
125.026 125.028 5 10 1.359571060377216e-09 1.682032391076076e-15
125.026 125.028 10 15 1.440869306512001e-09 1.735269158672384e-14
125.026 125.028 15 20 1.319687957158889e-09 6.322737969924903e-15
125.026 125.028 20 25 1.152938254925468e-09 6.260341090169249e-15
125.026 125.028 25 30 9.897952969879589e-10 2.200845345372921e-15
125.026 125.028 30 35 8.444472896140235e-10 1.181992295197654e-15
125.026 125.028 35 40 7.193569982591983e-10 6.358172864320372e-16
125.028 125.03 0 5 5.741429945807179e-10 1.274558967556155e-14
125.028 125.03 5 10 1.179335812756356e-09 1.098888943966372e-15
125.028 125.03 10 15 1.249861972478157e-09 1.543693665459883e-14
125.028 125.03 15 20 1.14474901965003e-09 5.835429748492595e-15
125.028 125.03 20 25 1.000106851098525e-09 5.125702045329213e-15
125.028 125.03 25 30 8.585921381476975e-10 2.171898089836468e-15
125.028 125.03 30 35 7.325126561970094e-10 1.249420749286743e-15
125.028 125.03 35 40 6.240049763957824e-10 7.424009784662385e-16
125.03 125.032 0 5 5.027421192271305e-10 1.105298293127241e-14
125.03 125.032 5 10 1.032677149255226e-09 7.383644352012799e-16
125.03 125.032 10 15 1.094437649223539e-09 1.375659900294907e-14
125.03 125.032 15 20 1.002399432486601e-09 5.327972957268168e-15
125.03 125.032 20 25 8.757461971426254e-10 4.298942208386853e-15
125.03 125.032 25 30 7.518304895308238e-10 2.065224974821762e-15
125.03 125.032 30 35 6.414299351462742e-10 1.23339693909037e-15
125.03 125.032 35 40 5.464156609210524e-10 7.687504671885112e-16
125.032 125.034 0 5 4.438696462948429e-10 9.689851485301791e-15
125.032 125.034 5 10 9.117517846076968e-10 5.084910593984647e-16
